Qty,Value,Device,Package,Parts,Description,DATASHEET-URL,GENDER,IR,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PACKAGING,PART-NUMBER,PINS,PROD_ID,ROWS,SUPPLIER,TYPE,VALUE,WE-NUMBER,
1,,6103XX21821_61031021821,61031021821,J23,WR-PHD 2.54 mm SMT Dual Socket Header (Reel),https://katalog.we-online.com/em/datasheet/61031021821.pdf,Socket Header,3A,,,,,Tape and Reel with Cap, 61031021821 , 10 ,,Dual,,Straight Type 2,,61031021821,
20,,CONN_03,1X03,J3; J4; J5; J6; J7; J8; J9; J10; J11; J12; J13; J14; J15; J16; J17; J18; J19; J20; J21; J22,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,XXX-00000,,,,455-1750-1-ND,,
2,,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,SJ1; SJ2,,,,,,,,,,,,,,,,,,
1,,PCA9685,TSSOP28,U2,PCA9685 - 16 Channel 12-Bit I2C PWM Controller,,,,,,,,,,,,,,,,,
1,,TERMBLOCK_1X2,TERMBLOCK_1X2-3.5MM,J1,3.5mm Terminal block,,,,,,,,,,,,,,,,,
1,,USB_C16PIN,USB-C-16P,J2,USB Type C 16Pin Connector,,,,,,,,,,,CONN-14122,,,,,,
2,0,10KOHM-0603-1/10W-1%,0603,R1; R2,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
2,0.1uF,0.1UF-0603-25V-(+80/-20%),0603,C20; C21,0.1µF ceramic capacitors,,,,,,,,,,,CAP-00810,,,,0.1uF,,
6,1.0uF,1.0UF-0805-25V-(+80/-20%),0805,C2; C8; C10; C11; C14; C15,1µF ceramic capacitors,,,,,,,,,,,CAP-11625,,,,1.0uF,,
1,100uF,100UF-POLAR-25V-20%(ELEC),PANASONIC_D,C5,100µF polarized capacitors,,,,,,,,,,,CAP-12547,,,,100uF,,
6,10k,10KOHM-0603-1/10W-1%,0603,R4; R6; R7; R8; R12; R15,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
1,10nF,47PF-0603-50V-5%,0603,C17,47pF ceramic capacitors,,,,,,,,,,,CAP-08913,,,,47pF,,
1,10uF,1.0UF-0805-25V-(+80/-20%),0805,C1,1µF ceramic capacitors,,,,,,,,,,,CAP-11625,,,,1.0uF,,
2,18pF,47PF-0603-50V-5%,0603,C6; C7,47pF ceramic capacitors,,,,,,,,,,,CAP-08913,,,,47pF,,
1,1X4-BIG,1X4-BIG,1X04-BIG,CN1,4-pin connector,,,,,,,,,,,,,,,,,
3,1k,10KOHM-0603-1/10W-1%,0603,R16; R17; R18,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
1,1k,1KOHM-0603-1/10W-1%,0603,R9,1kO resistor,,,,,,,,,,,RES-07856,,,,1k,,
1,1k5,10KOHM-0603-1/10W-1%,0603,R20,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
2,2.2uF,1.0UF-0805-25V-(+80/-20%),0805,C9; C18,1µF ceramic capacitors,,,,,,,,,,,CAP-11625,,,,1.0uF,,
2,27,27OHM1/10W1%(0603)0603-RES,0603,R13; R14,RES-09334,,,,,,,,,,,RES-09334,,,,,,
1,4.7k,10KOHM-0603-1/10W-1%,0603,R5,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
1,4.7uF,1.0UF-0805-25V-(+80/-20%),0805,C3,1µF ceramic capacitors,,,,,,,,,,,CAP-11625,,,,1.0uF,,
2,47pF,47PF-0603-50V-5%,0603,C12; C13,47pF ceramic capacitors,,,,,,,,,,,CAP-08913,,,,47pF,,
2,5.1k,10KOHM-0603-1/10W-1%,0603,R3; R19,10kO resistor,,,,,,,,,,,RES-00824,,,,10k,,
1,500mA,PTCSMD,PTC-1206,F1,Resettable Fuse PTC,,,,,,,,,,,RES-11150,,,,,,
1,8MHz,CRYSTAL5X3,CRYSTAL-SMD-5X3,OSC,Crystals,,,,,,,,,,,,,,,,,
1,AOD417,MOSFET-PTO252,TO252,Q1,P-Channel Mosfet,,,,,,,,,,,,,,,,,
1,AP2112K-3.3V,V_REG_LDOSMD,SOT23-5,U3,Voltage Regulator LDO,,,,,,,,,,,VREG-12457,,,,,,
2,BAT20J,DIODE-SCHOTTKY-BAT20J,SOD-323,D1; D3,Schottky diodes in SFE's production catalog,,,,,,,,,,,DIO-11623,,,,BAT20J,,
1,BLUE,LED-BLUE0603,LED-0603@2,D2,Blue SMD LED,,,,,,,,,,,DIO-08575,,,,BLUE,,
1,MCP1825S-5002E/DB,MCP1825S-5002E/DB,SOT230P700X180-4N,U4,IC; LDO; 5.0V; 500MA,,,,MCP1825S-5002E/DB,1578407,26M9964,SOT-223-3,,,,,,Microchip,,,,
1,MPU-6050-1,MPU-6050-1,QFN-24-4MM2,U$2,,,,,,,,,,,,,,,,,,
1,RESET,MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM,TACTILE_SWITCH_SMD_4.6X2.8MM,S1,Momentary Switch (Pushbutton) - SPST - Two Circuits,,,,,,,,,,,SWCH-13065,,,,,,
1,STM32F103CBT6,STM32F103CB,LQFP48,UC1,,,,,,,,,,,,,,,,,,
