Designator,Footprint,Quantity,Value,LCSC Part #
"@HOLE0, @HOLE1, @HOLE10, @HOLE11, @HOLE12, @HOLE13, @HOLE2, @HOLE3, @HOLE4, @HOLE5, @HOLE6, @HOLE7, @HOLE8, @HOLE9",,14,,
C1,0805,1,10uF,
"C10, C11, C14, C15, C2, C8",0805,6,1.0uF,
"C12, C13",0603,2,47pF,
C17,0603,1,10nF,
"C18, C9",0805,2,2.2uF,
"C20, C21",0603,2,0.1uF,
C3,0805,1,4.7uF,
C5,PANASONIC_D,1,100uF,
"C6, C7",0603,2,18pF,
CN1,1X04-BIG,1,1X4-BIG,
"D1, D3",SOD-323,2,BAT20J,
D2,LED-0603@2,1,BLUE,
F1,PTC-1206,1,500mA,
J1,TERMBLOCK_1X2-3.5MM,1,,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J3, J4, J5, J6, J7, J8, J9",1X03,20,,
J2,USB-C-16P,1,,
J23,61031021821,1,,
OSC0,CRYSTAL-SMD-5X3,1,8MHz,
Q1,TO252,1,AOD417,
"R1, R2",0603,2,0,
"R12, R15, R4, R6, R7, R8",0603,6,10k,
"R13, R14",0603,2,27,
"R16, R17, R18, R9",0603,4,1k,
"R19, R3",0603,2,5.1k,
R20,0603,1,1k5,
R5,0603,1,4.7k,
S1,TACTILE_SWITCH_SMD_4.6X2.8MM,1,RESET,
"SJ1, SJ2",PAD-JUMPER-2-NO_YES_SILK,2,,
U$2,QFN-24-4MM2,1,MPU-6050-1,
U2,TSSOP28,1,,
U3,SOT23-5,1,AP2112K-3.3V,
U4,SOT230P700X180-4N,1,MCP1825S-5002E/DB,
UC1,LQFP48,1,STM32F103CBT6,
