Designator,Mid X,Mid Y,Rotation,Layer
@HOLE0,177.5011,-93.5036,0.0,top
@HOLE1,119.5011,-93.5036,0.0,top
@HOLE10,170.0411,-94.7736,0.0,top
@HOLE11,167.5011,-94.7736,0.0,top
@HOLE12,164.9611,-94.7736,0.0,top
@HOLE13,162.4211,-94.7736,0.0,top
@HOLE2,119.5011,-116.5036,0.0,top
@HOLE3,177.5011,-116.5036,0.0,top
@HOLE4,162.4211,-92.2336,0.0,top
@HOLE5,164.9611,-92.2336,0.0,top
@HOLE6,167.5011,-92.2336,0.0,top
@HOLE7,170.0411,-92.2336,0.0,top
@HOLE8,172.5811,-92.2336,0.0,top
@HOLE9,172.5811,-94.7736,0.0,top
C1,127.6086,-104.5361,90.0,top
C10,150.5981,-93.5016,0.0,top
C11,139.8701,-93.4176,180.0,top
C12,130.4011,-100.7416,90.0,top
C13,126.1011,-100.7416,90.0,top
C14,149.7261,-102.2916,270.0,top
C15,139.4351,-101.0836,270.0,top
C17,171.6361,-105.8986,270.0,top
C18,162.7461,-101.5886,90.0,top
C2,137.2191,-110.3516,0.0,top
C20,173.2236,-102.38235,0.0,top
C21,170.6836,-100.3186,0.0,top
C3,140.2671,-110.3516,180.0,top
C5,147.4541,-115.2961,270.0,top
C6,138.9641,-105.9616,270.0,top
C7,146.5621,-105.8556,90.0,top
C8,144.6371,-109.6626,270.0,top
C9,150.9631,-109.6326,270.0,top
CN1,179.2561,-104.1286,90.0,top
D1,143.0291,-112.8916,270.0,top
D2,135.59985,-95.71485,90.0,top
D3,123.8951,-103.3096,180.0,top
F1,122.8961,-100.4866,270.0,top
J1,154.5991,-115.6861,0.0,top
J10,112.0411,-115.4636,0.0,top
J11,112.0411,-118.0036,0.0,top
J12,184.9611,-92.0036,180.0,top
J13,184.9611,-94.5436,180.0,top
J14,184.9611,-97.0836,180.0,top
J15,184.9611,-102.4636,180.0,top
J16,184.9611,-105.0036,180.0,top
J17,184.9611,-107.5436,180.0,top
J18,184.9611,-112.9236,180.0,top
J19,184.9611,-115.4636,180.0,top
J2,128.1361,-94.4186,180.0,top
J20,184.9611,-118.0036,180.0,top
J21,133.5011,-115.4636,90.0,top
J22,130.9611,-115.4636,90.0,top
J23,167.5086,-93.49235,0.0,top
J3,112.0411,-92.0036,0.0,top
J4,112.0411,-94.5436,0.0,top
J5,112.0411,-97.0836,0.0,top
J6,112.0411,-102.4636,0.0,top
J7,112.0411,-105.0036,0.0,top
J8,112.0411,-107.5436,0.0,top
J9,112.0411,-112.9236,0.0,top
OSC0,142.7101,-105.9616,0.0,top
Q1,164.5491,-114.6066,270.0,top
R1,157.9361,-91.4286,180.0,top
R12,158.0011,-96.0036,180.0,top
R13,127.5361,-100.7416,270.0,top
R14,129.0011,-100.7416,270.0,top
R15,158.3661,-101.2536,180.0,top
R16,154.8991,-105.5596,270.0,top
R17,152.2511,-95.2536,180.0,top
R18,158.3661,-99.7536,0.0,top
R19,131.8011,-100.7416,270.0,top
R2,157.9361,-93.0161,180.0,top
R20,137.4411,-94.13985,270.0,top
R3,124.7011,-100.7416,270.0,top
R4,174.5011,-111.0036,270.0,top
R5,173.0011,-111.0036,90.0,top
R6,160.0156,-103.1761,180.0,top
R7,160.0156,-104.7001,180.0,top
R8,147.9501,-105.4916,270.0,top
R9,137.9811,-96.5086,180.0,top
S1,151.4431,-105.5256,180.0,top
SJ1,155.3246,-95.7516,90.0,top
SJ2,155.3626,-100.1306,90.0,top
U$2,167.2111,-103.4836,180.0,top
U2,122.7411,-109.5896,270.0,top
U3,147.9521,-109.5776,270.0,top
U4,138.6161,-115.4316,270.0,top
UC1,145.3851,-97.5266,0.0,top
